Model,Accuracy,F1 (macro),F1 (weighted),ROC-AUC,F1_akiec,F1_bcc,F1_bkl,F1_df,F1_mel,F1_nv,F1_vasc
EfficientNet-B3,0.7811044577511643,0.7291328700979082,0.7976043539167025,0.9544970472371693,0.6666666666666666,0.8072289156626506,0.6787878787878788,0.7058823529411765,0.5390946502057613,0.8662696264212236,0.84
ResNet-50,0.6540252827677977,0.6908085925674198,0.6883638831160377,0.9522626168102308,0.6153846153846154,0.757396449704142,0.6493506493506493,0.7567567567567568,0.42835595776772245,0.7304565353345841,0.8979591836734694
DenseNet-121,0.7152361942781105,0.724934243717292,0.7432779773173618,0.9676363530228725,0.6521739130434783,0.8387096774193549,0.6752577319587629,0.75,0.49333333333333335,0.7900650502661147,0.875
MobileNet-V3,0.7691284098469727,0.7478333815540689,0.7885490560908421,0.9623186170676808,0.6530612244897959,0.8181818181818182,0.7170868347338936,0.7777777777777778,0.5296442687747036,0.845464725643897,0.8936170212765957
